size,tool,mode,variant,folding,runs,time_s_avg,time_s_mean,time_s_min,time_s_max,time_s_stddev,peak_kb_avg,peak_kb_mean,peak_kb_min,peak_kb_max,peak_kb_stddev,output_bytes_avg,output_bytes_mean,output_bytes_min,output_bytes_max,output_bytes_stddev
0.5mb,cypher,large-file,1,,10,1.092,1.092,1.08,1.11,0.00918937,27501.6,27501.6,27272,27564,89.3075,1.96509e+06,1.96509e+06,1.96509e+06,1.96509e+06,0
0.5mb,cypher,large-file,2,fixed,10,0.41,0.41,0.41,0.41,0,34202,34202,34076,34324,92.7841,1.60264e+06,1.60264e+06,1.60264e+06,1.60264e+06,0
0.5mb,cypher,large-file,2,open,10,0.41,0.41,0.4,0.42,0.00471405,34119.2,34119.2,33964,34316,111.663,1.48616e+06,1.48616e+06,1.48616e+06,1.48616e+06,0
0.5mb,cypher,large-file,3,,10,0.843,0.843,0.83,0.85,0.00674949,29392.4,29392.4,29280,29480,91.5535,2.04395e+06,2.04395e+06,2.04395e+06,2.04395e+06,0
0.5mb,cypher,normal,1,,10,0.32,0.32,0.32,0.32,0,48044.8,48044.8,47964,48132,73.4133,1.60738e+06,1.60738e+06,1.60738e+06,1.60738e+06,0
0.5mb,cypher,normal,2,fixed,10,0.319,0.319,0.31,0.32,0.00316228,45622,45622,45536,45752,73.9309,1.36984e+06,1.36984e+06,1.36984e+06,1.36984e+06,0
0.5mb,cypher,normal,2,open,10,0.311,0.311,0.31,0.32,0.00316228,45262.8,45262.8,45108,45440,117.501,1.28622e+06,1.28622e+06,1.28622e+06,1.28622e+06,0
0.5mb,cypher,normal,3,,10,0.32,0.32,0.32,0.32,0,50268.8,50268.8,50148,50364,74.2081,1.68233e+06,1.68233e+06,1.68233e+06,1.68233e+06,0
0.5mb,yarspg,normal,1,,10,0.324,0.324,0.31,0.41,0.0306232,43588.8,43588.8,43428,43668,67.4567,1.49268e+06,1.49268e+06,1.49268e+06,1.49268e+06,0
0.5mb,yarspg,normal,2,fixed,10,0.337,0.337,0.31,0.53,0.0681583,41209.2,41209.2,41056,41320,75.5672,1.27514e+06,1.27514e+06,1.27514e+06,1.27514e+06,0
0.5mb,yarspg,normal,2,open,10,0.31,0.31,0.31,0.31,0,40906.4,40906.4,40816,40992,51.3705,1.19391e+06,1.19391e+06,1.19391e+06,1.19391e+06,0
0.5mb,yarspg,normal,3,,10,0.314,0.314,0.31,0.32,0.00516398,45682.4,45682.4,45612,45788,54.1668,1.52103e+06,1.52103e+06,1.52103e+06,1.52103e+06,0
1.5mb,cypher,large-file,1,,10,4.115,4.115,4.06,4.18,0.0411636,40691.6,40691.6,39980,41304,490.056,6.16463e+06,6.16463e+06,6.16463e+06,6.16463e+06,0
1.5mb,cypher,large-file,2,fixed,10,1.238,1.238,1.23,1.26,0.00918937,63884,63884,63652,64000,110.014,5.0022e+06,5.0022e+06,5.0022e+06,5.0022e+06,0
1.5mb,cypher,large-file,2,open,10,1.228,1.228,1.21,1.25,0.0122927,63752,63752,63648,63828,74.5237,4.73314e+06,4.73314e+06,4.73314e+06,4.73314e+06,0
1.5mb,cypher,large-file,3,,10,3.341,3.341,3.32,3.39,0.0213177,41840.4,41840.4,41728,41928,77.5044,6.21249e+06,6.21249e+06,6.21249e+06,6.21249e+06,0
1.5mb,cypher,normal,1,,10,0.989,0.989,0.98,1,0.00567646,108368,108368,108188,108560,116.397,4.88348e+06,4.88348e+06,4.88348e+06,4.88348e+06,0
1.5mb,cypher,normal,2,fixed,10,0.978,0.978,0.97,0.99,0.00632456,101847,101847,101744,101920,59.7193,4.16363e+06,4.16363e+06,4.16363e+06,4.16363e+06,0
1.5mb,cypher,normal,2,open,10,0.97,0.97,0.97,0.97,0,100765,100765,100616,100880,83.1769,3.91067e+06,3.91067e+06,3.91067e+06,3.91067e+06,0
1.5mb,cypher,normal,3,,10,0.991,0.991,0.98,1,0.00567646,110278,110278,110076,110356,81.4796,5.1231e+06,5.1231e+06,5.1231e+06,5.1231e+06,0
1.5mb,yarspg,normal,1,,10,0.979,0.979,0.97,0.99,0.00737865,103255,103255,103004,103496,141.309,4.53998e+06,4.53998e+06,4.53998e+06,4.53998e+06,0
1.5mb,yarspg,normal,2,fixed,10,0.966,0.966,0.94,0.99,0.013499,96699.6,96699.6,96432,96836,132.979,3.88013e+06,3.88013e+06,3.88013e+06,3.88013e+06,0
