size,mode,variant,folding,runs,time_s_avg,time_s_mean,time_s_min,time_s_max,time_s_stddev,peak_kb_avg,peak_kb_mean,peak_kb_min,peak_kb_max,peak_kb_stddev,cypher_bytes_avg,cypher_bytes_mean,cypher_bytes_min,cypher_bytes_max,cypher_bytes_stddev,nodes_avg,nodes_mean,nodes_min,nodes_max,nodes_stddev,relationships_avg,relationships_mean,relationships_min,relationships_max,relationships_stddev
0.5mb,large-file,1,,5,6.97,6.97,2.05,15.27,5.31591,224022,224022,216784,230244,6666.9,1.96509e+06,1.96509e+06,1.96509e+06,1.96509e+06,0,10678,10678,10678,10678,0,12000,12000,12000,12000,0
0.5mb,large-file,2,fixed,5,5.88,5.88,3.18,11.17,3.28666,215504,215504,203164,220420,7032.23,1.60264e+06,1.60264e+06,1.60264e+06,1.60264e+06,0,8678,8678,8678,8678,0,10000,10000,10000,10000,0
0.5mb,large-file,2,open,5,5.394,5.394,4.37,8.87,1.94611,211670,211670,204532,217976,4903.2,1.48616e+06,1.48616e+06,1.48616e+06,1.48616e+06,0,8678,8678,8678,8678,0,9600,9600,9600,9600,0
0.5mb,large-file,3,,5,4.592,4.592,2,14.75,5.67879,231893,231893,228876,234100,2028.16,2.04395e+06,2.04395e+06,2.04395e+06,2.04395e+06,0,13678,13678,13678,13678,0,15000,15000,15000,15000,0
0.5mb,normal,1,,1,345.16,345.16,345.16,345.16,0,199260,199260,199260,199260,0,1.60738e+06,1.60738e+06,1.60738e+06,1.60738e+06,0,10678,10678,10678,10678,0,12000,12000,12000,12000,0
1.5mb,large-file,1,,5,21.902,21.902,19.32,30.74,4.96379,348988,348988,344892,355036,4039.79,6.16463e+06,6.16463e+06,6.16463e+06,6.16463e+06,0,31878,31878,31878,31878,0,36000,36000,36000,36000,0
1.5mb,large-file,2,fixed,5,18.924,18.924,13.97,22.87,3.25593,314834,314834,309740,322312,5345.14,5.0022e+06,5.0022e+06,5.0022e+06,5.0022e+06,0,25878,25878,25878,25878,0,30000,30000,30000,30000,0
1.5mb,large-file,2,open,5,13.888,13.888,11.46,15.91,1.9085,308474,308474,301724,311464,3922.69,4.73314e+06,4.73314e+06,4.73314e+06,4.73314e+06,0,25878,25878,25878,25878,0,28800,28800,28800,28800,0
1.5mb,large-file,3,,5,18.998,18.998,15.94,25.73,4.08729,365618,365618,364016,366592,993.352,6.21249e+06,6.21249e+06,6.21249e+06,6.21249e+06,0,40878,40878,40878,40878,0,45000,45000,45000,45000,0
1mb,large-file,1,,5,7.938,7.938,3.44,22.34,8.08301,290215,290215,278596,296840,6907.26,4.05742e+06,4.05742e+06,4.05742e+06,4.05742e+06,0,21278,21278,21278,21278,0,24000,24000,24000,24000,0
1mb,large-file,2,fixed,5,8.338,8.338,5.06,17.08,5.19826,266658,266658,256536,273140,6647.01,3.28955e+06,3.28955e+06,3.28955e+06,3.28955e+06,0,17278,17278,17278,17278,0,20000,20000,20000,20000,0
1mb,large-file,2,open,5,5.246,5.246,2.91,8.84,2.23025,263980,263980,262356,266772,1693.55,3.10402e+06,3.10402e+06,3.10402e+06,3.10402e+06,0,17278,17278,17278,17278,0,19200,19200,19200,19200,0
1mb,large-file,3,,5,14.286,14.286,11.55,21.92,4.37222,301172,301172,296548,303804,2967.15,4.13207e+06,4.13207e+06,4.13207e+06,4.13207e+06,0,27278,27278,27278,27278,0,30000,30000,30000,30000,0
2.5mb,large-file,1,,5,33.014,33.014,25.33,41.27,6.29455,407651,407651,400044,422808,8874.15,1.03123e+07,1.03123e+07,1.03123e+07,1.03123e+07,0,53078,53078,53078,53078,0,60000,60000,60000,60000,0
2.5mb,large-file,2,fixed,5,21.66,21.66,15.75,27.49,4.17194,406769,406769,396240,421012,9591.77,8.36516e+06,8.36516e+06,8.36516e+06,8.36516e+06,0,43078,43078,43078,43078,0,50000,50000,50000,50000,0
2.5mb,large-file,2,open,5,11.788,11.788,9.49,14.44,2.1735,399848,399848,386056,409524,9160.83,7.93574e+06,7.93574e+06,7.93574e+06,7.93574e+06,0,43078,43078,43078,43078,0,48000,48000,48000,48000,0
2.5mb,large-file,3,,5,29.236,29.236,26.5,36.29,4.13146,403246,403246,387256,423436,13934.3,1.03638e+07,1.03638e+07,1.03638e+07,1.03638e+07,0,68078,68078,68078,68078,0,75000,75000,75000,75000,0
2mb,large-file,1,,5,30.804,30.804,24.63,37.1,5.28691,395140,395140,383268,411584,14391.3,8.25292e+06,8.25292e+06,8.25292e+06,8.25292e+06,0,42478,42478,42478,42478,0,48000,48000,48000,48000,0
2mb,large-file,2,fixed,5,21.384,21.384,15.59,26.59,5.10764,365990,365990,358396,377760,7582.8,6.69466e+06,6.69466e+06,6.69466e+06,6.69466e+06,0,34478,34478,34478,34478,0,40000,40000,40000,40000,0
2mb,large-file,2,open,5,14.234,14.234,8.99,19.86,4.05891,360316,360316,355052,368192,5034.15,6.34708e+06,6.34708e+06,6.34708e+06,6.34708e+06,0,34478,34478,34478,34478,0,38400,38400,38400,38400,0
2mb,large-file,3,,5,26.51,26.51,21.91,30.01,3.41373,410120,410120,391984,420528,11265,8.29098e+06,8.29098e+06,8.29098e+06,8.29098e+06,0,54478,54478,54478,54478,0,60000,60000,60000,60000,0
