size,tool,mode,variant,folding,runs,time_s_avg,time_s_mean,time_s_min,time_s_max,time_s_stddev,peak_kb_avg,peak_kb_mean,peak_kb_min,peak_kb_max,peak_kb_stddev,output_bytes_avg,output_bytes_mean,output_bytes_min,output_bytes_max,output_bytes_stddev
0.5mb,cypher,large-file,1,,10,0.662,0.662,0.65,0.67,0.00632456,25604.8,25604.8,25480,25704,80.483,1.58224e+06,1.58224e+06,1.58224e+06,1.58224e+06,0
0.5mb,cypher,large-file,2,fixed,10,0.281,0.281,0.28,0.29,0.00316228,29316.8,29316.8,29144,29452,74.8522,2.17319e+06,2.17319e+06,2.17319e+06,2.17319e+06,0
0.5mb,cypher,large-file,2,open,10,0.261,0.261,0.26,0.27,0.00316228,34044,34044,33820,34184,132.893,710245,710245,710245,710245,0
0.5mb,cypher,large-file,3,,10,0.488,0.488,0.48,0.5,0.00632456,25379.2,25379.2,25316,25472,64.8499,1.45325e+06,1.45325e+06,1.45325e+06,1.45325e+06,0
0.5mb,cypher,normal,1,,10,0.232,0.232,0.23,0.24,0.00421637,40989.6,40989.6,40840,41064,70.8601,1.53326e+06,1.53326e+06,1.53326e+06,1.53326e+06,0
0.5mb,cypher,normal,2,fixed,10,0.24,0.24,0.24,0.24,0,42268.4,42268.4,42084,42392,87.665,2.15445e+06,2.15445e+06,2.15445e+06,2.15445e+06,0
0.5mb,cypher,normal,2,open,10,0.22,0.22,0.22,0.22,0,34664.8,34664.8,34432,34808,108.021,655170,655170,655170,655170,0
0.5mb,cypher,normal,3,,10,0.223,0.223,0.22,0.25,0.00948683,38967.6,38967.6,38784,39100,111.975,1.37621e+06,1.37621e+06,1.37621e+06,1.37621e+06,0
0.5mb,yarspg,normal,1,,10,0.23,0.23,0.23,0.23,0,36353.6,36353.6,36184,36456,90.3367,1.44439e+06,1.44439e+06,1.44439e+06,1.44439e+06,0
0.5mb,yarspg,normal,2,fixed,10,0.231,0.231,0.23,0.24,0.00316228,37770.4,37770.4,37576,37928,114.421,2.06712e+06,2.06712e+06,2.06712e+06,2.06712e+06,0
0.5mb,yarspg,normal,2,open,10,0.219,0.219,0.21,0.23,0.00567646,30104.8,30104.8,29980,30204,93.5768,619924,619924,619924,619924,0
0.5mb,yarspg,normal,3,,10,0.22,0.22,0.22,0.22,0,34226,34226,34044,34336,89.0693,1.2765e+06,1.2765e+06,1.2765e+06,1.2765e+06,0
1.5mb,cypher,large-file,1,,10,2.309,2.309,2.29,2.34,0.0191195,38011.2,38011.2,37828,38324,138.869,4.96915e+06,4.96915e+06,4.96915e+06,4.96915e+06,0
1.5mb,cypher,large-file,2,fixed,10,0.792,0.792,0.78,0.8,0.00788811,51702.4,51702.4,51564,51772,80.2042,6.92931e+06,6.92931e+06,6.92931e+06,6.92931e+06,0
1.5mb,cypher,large-file,2,open,10,0.746,0.746,0.73,0.76,0.00843274,67635.6,67635.6,67428,67792,107.884,2.22696e+06,2.22696e+06,2.22696e+06,2.22696e+06,0
1.5mb,cypher,large-file,3,,10,1.779,1.779,1.76,1.83,0.0242441,37520.8,37520.8,37392,37672,92.6412,4.54021e+06,4.54021e+06,4.54021e+06,4.54021e+06,0
1.5mb,cypher,normal,1,,10,0.658,0.658,0.65,0.67,0.00632456,89464.8,89464.8,89336,89684,109.768,4.85029e+06,4.85029e+06,4.85029e+06,4.85029e+06,0
1.5mb,cypher,normal,2,fixed,10,0.682,0.682,0.68,0.69,0.00421637,93897.2,93897.2,93692,93984,93.3343,6.92995e+06,6.92995e+06,6.92995e+06,6.92995e+06,0
1.5mb,cypher,normal,2,open,10,0.617,0.617,0.61,0.62,0.00483046,68959.6,68959.6,68852,69104,98.4222,2.05638e+06,2.05638e+06,2.05638e+06,2.05638e+06,0
1.5mb,cypher,normal,3,,10,0.622,0.622,0.62,0.63,0.00421637,81956,81956,81820,82008,70.1237,4.32883e+06,4.32883e+06,4.32883e+06,4.32883e+06,0
1.5mb,yarspg,normal,1,,10,0.646,0.646,0.64,0.65,0.00516398,83938.4,83938.4,83812,83984,66.6987,4.57039e+06,4.57039e+06,4.57039e+06,4.57039e+06,0
1.5mb,yarspg,normal,2,fixed,10,0.664,0.664,0.66,0.67,0.00516398,87746.4,87746.4,87632,87824,83.2709,6.65164e+06,6.65164e+06,6.65164e+06,6.65164e+06,0
1.5mb,yarspg,normal,2,open,10,0.608,0.608,0.6,0.62,0.00632456,64099.2,64099.2,63988,64188,56.8444,1.94537e+06,1.94537e+06,1.94537e+06,1.94537e+06,0
1.5mb,yarspg,normal,3,,10,0.613,0.613,0.61,0.63,0.00674949,76690.4,76690.4,76592,76792,84.0994,4.01882e+06,4.01882e+06,4.01882e+06,4.01882e+06,0
1mb,cypher,large-file,1,,10,1.421,1.421,1.41,1.44,0.011005,30760,30760,30604,30940,115.285,3.28665e+06,3.28665e+06,3.28665e+06,3.28665e+06,0
1mb,cypher,large-file,2,fixed,10,0.537,0.537,0.53,0.54,0.00483046,40656,40656,40352,40864,167.459,4.57712e+06,4.57712e+06,4.57712e+06,4.57712e+06,0
1mb,cypher,large-file,2,open,10,0.496,0.496,0.48,0.5,0.00699206,50114.8,50114.8,49948,50300,101,1.48344e+06,1.48344e+06,1.48344e+06,1.48344e+06,0
1mb,cypher,large-file,3,,10,1.08,1.08,1.06,1.1,0.0124722,30503.6,30503.6,30296,30644,111.88,3.00579e+06,3.00579e+06,3.00579e+06,3.00579e+06,0
1mb,cypher,normal,1,,10,0.441,0.441,0.43,0.45,0.00567646,63723.6,63723.6,63640,63768,43.5512,3.21252e+06,3.21252e+06,3.21252e+06,3.21252e+06,0
1mb,cypher,normal,2,fixed,10,0.461,0.461,0.46,0.47,0.00316228,67160.4,67160.4,67008,67260,84.9878,4.58098e+06,4.58098e+06,4.58098e+06,4.58098e+06,0
